simTime,road,direction,total_cumulative,active,slowing,stopped
1360.0,"Childrens Way",inbound,1,1,0,0
1435.0,"Childrens Way",inbound,1,0,0,0
1435.0,"Christopher Road",inbound,1,1,0,0
1435.0,"Dreyersdal Road",inbound,1,0,0,0
1515.0,"Childrens Way",inbound,1,0,0,0
1515.0,"Christopher Road",inbound,1,0,0,0
1515.0,"Vineyard Road",inbound,1,0,0,0
1515.0,"Leyden Road",inbound,1,0,0,0
1515.0,"Dreyersdal Road",inbound,1,0,0,0
1515.0,"Tokai High School Internal Road",outbound,1,1,0,0
1590.0,"Childrens Way",inbound,1,0,0,0
1590.0,"Christopher Road",inbound,1,0,0,0
1590.0,"Vineyard Road",inbound,1,0,0,0
1590.0,"Leyden Road",inbound,1,0,0,0
1590.0,"Dreyersdal Road",inbound,1,0,0,0
1590.0,"Tokai High School Internal Road",inbound,1,0,0,0
1590.0,"Tokai High School Internal Road",outbound,1,1,0,0
1665.0,"Childrens Way",inbound,2,0,0,0
1665.0,"Christopher Road",inbound,1,0,0,0
1665.0,"Ruskin Road",outbound,1,1,0,0
1665.0,"Vineyard Road",inbound,1,0,0,0
1665.0,"Aristea Road",outbound,1,0,0,0
1665.0,"Dante Road",outbound,1,1,0,0
1665.0,"Leyden Road",inbound,1,0,0,0
1665.0,"Dreyersdal Road",inbound,3,2,0,0
1665.0,"Tokai High School Internal Road",inbound,1,0,0,0
1665.0,"Tokai High School Internal Road",outbound,1,0,0,0
1665.0,"Homestead Avenue",inbound,1,0,0,0
1740.0,"Childrens Way",inbound,2,0,0,0
1740.0,"Christopher Road",inbound,3,0,0,0
1740.0,"Ruskin Road",outbound,1,0,0,0
1740.0,"Vineyard Road",inbound,3,2,0,0
1740.0,"Vineyard Road",outbound,1,0,0,0
1740.0,"Aristea Road",outbound,1,0,0,0
1740.0,"Dante Road",outbound,1,0,0,0
1740.0,"Airlie Road",outbound,1,0,0,0
1740.0,"Leyden Road",inbound,1,0,0,0
1740.0,"Dreyersdal Road",inbound,3,0,0,0
1740.0,"Dreyersdal Road",outbound,1,1,0,0
1740.0,"Tokai High School Internal Road",inbound,1,0,0,0
1740.0,"Tokai High School Internal Road",outbound,1,0,0,0
1740.0,"Homestead Avenue",inbound,1,0,0,0
1820.0,"Childrens Way",inbound,3,1,0,0
1820.0,"Christopher Road",inbound,3,0,0,0
1820.0,"Ruskin Road",outbound,1,0,0,0
1820.0,"Vineyard Road",inbound,3,0,0,0
1820.0,"Vineyard Road",outbound,1,0,0,0
1820.0,"Aristea Road",outbound,1,0,0,0
1820.0,"Dante Road",outbound,1,0,0,0
1820.0,"Airlie Road",outbound,1,0,0,0
1820.0,"Leyden Road",inbound,3,0,0,0
1820.0,"Dreyersdal Road",inbound,3,0,0,0
1820.0,"Dreyersdal Road",outbound,1,0,0,0
1820.0,"Tokai High School Internal Road",inbound,2,0,0,1
1820.0,"Tokai High School Internal Road",outbound,3,1,0,0
1820.0,"Homestead Avenue",inbound,1,0,0,0
1895.0,"Childrens Way",inbound,3,0,0,0
1895.0,"Christopher Road",inbound,3,0,0,0
1895.0,"Ruskin Road",outbound,1,0,0,0
1895.0,"Vineyard Road",inbound,3,0,0,0
1895.0,"Vineyard Road",outbound,1,0,0,0
1895.0,"Aristea Road",outbound,1,0,0,0
1895.0,"Dante Road",outbound,1,0,0,0
1895.0,"Airlie Road",outbound,1,0,0,0
1895.0,"Leyden Road",inbound,3,0,0,0
1895.0,"Dreyersdal Road",inbound,5,2,0,0
1895.0,"Dreyersdal Road",outbound,1,0,0,0
1895.0,"Tokai High School Internal Road",inbound,3,0,0,0
1895.0,"Tokai High School Internal Road",outbound,3,2,0,0
1895.0,"Homestead Avenue",inbound,1,0,0,0
1970.0,"Childrens Way",inbound,4,1,0,0
1970.0,"Christopher Road",inbound,4,0,0,0
1970.0,"Ruskin Road",outbound,3,0,0,0
1970.0,"Vineyard Road",inbound,4,0,0,0
1970.0,"Vineyard Road",outbound,2,0,0,0
1970.0,"Aristea Road",outbound,3,0,0,0
1970.0,"Dante Road",outbound,3,1,0,0
1970.0,"Airlie Road",outbound,2,1,0,0
1970.0,"Leyden Road",inbound,4,1,0,0
1970.0,"Dreyersdal Road",inbound,7,3,0,0
1970.0,"Dreyersdal Road",outbound,1,0,0,0
1970.0,"Tokai High School Internal Road",inbound,3,0,0,0
1970.0,"Tokai High School Internal Road",outbound,3,0,0,0
1970.0,"Homestead Avenue",inbound,2,0,0,0
2045.0,"Childrens Way",inbound,4,0,0,0
2045.0,"Childrens Way",outbound,1,0,0,0
2045.0,"Starke Road",outbound,2,1,0,0
2045.0,"Christopher Road",inbound,7,1,0,0
2045.0,"Christopher Road",outbound,1,0,0,0
2045.0,"Ruskin Road",outbound,3,0,0,0
2045.0,"Vineyard Road",inbound,6,2,0,0
2045.0,"Vineyard Road",outbound,3,0,0,0
2045.0,"Aristea Road",outbound,3,0,0,0
2045.0,"Dante Road",outbound,3,0,0,0
2045.0,"Airlie Road",outbound,2,0,0,0
2045.0,"Leyden Road",inbound,4,0,0,0
2045.0,"Dreyersdal Road",inbound,8,1,0,0
2045.0,"Dreyersdal Road",outbound,1,0,0,0
2045.0,"Tokai High School Internal Road",inbound,4,0,0,1
2045.0,"Tokai High School Internal Road",outbound,4,0,0,0
2045.0,"Homestead Avenue",inbound,2,0,0,0
2120.0,"Childrens Way",inbound,5,0,0,0
2120.0,"Childrens Way",outbound,1,0,0,0
2120.0,"Starke Road",outbound,2,1,0,0
2120.0,"Christopher Road",inbound,7,0,0,0
2120.0,"Christopher Road",outbound,1,0,0,0
2120.0,"Ruskin Road",outbound,4,1,0,0
2120.0,"Vineyard Road",inbound,7,0,0,0
2120.0,"Vineyard Road",outbound,3,0,0,0
2120.0,"Aristea Road",outbound,4,0,0,0
2120.0,"Dante Road",outbound,3,0,0,0
2120.0,"Airlie Road",outbound,2,0,0,0
2120.0,"Leyden Road",inbound,7,0,0,0
2120.0,"Dreyersdal Road",inbound,9,2,0,0
2120.0,"Dreyersdal Road",outbound,1,0,0,0
2120.0,"Tokai High School Internal Road",inbound,5,0,0,1
2120.0,"Tokai High School Internal Road",outbound,7,2,0,0
2120.0,"Homestead Avenue",inbound,3,1,0,0
2195.0,"Childrens Way",inbound,6,0,0,0
2195.0,"Childrens Way",outbound,2,1,0,0
2195.0,"Starke Road",outbound,3,1,0,0
2195.0,"Christopher Road",inbound,9,1,0,0
2195.0,"Christopher Road",outbound,1,0,0,0
2195.0,"Ruskin Road",outbound,4,0,0,0
2195.0,"Vineyard Road",inbound,8,1,0,0
2195.0,"Vineyard Road",outbound,4,0,0,0
2195.0,"Aristea Road",outbound,4,0,0,0
2195.0,"Dante Road",outbound,4,0,0,0
2195.0,"Airlie Road",outbound,3,0,0,0
2195.0,"Leyden Road",inbound,7,0,0,0
2195.0,"Dreyersdal Road",inbound,11,2,0,0
2195.0,"Dreyersdal Road",outbound,1,0,0,0
2195.0,"Firgrove Way Service Road",outbound,1,0,0,0
2195.0,"Tokai High School Internal Road",inbound,7,0,0,0
2195.0,"Tokai High School Internal Road",outbound,7,3,0,0
2195.0,"Homestead Avenue",inbound,3,0,0,0
2275.0,"Childrens Way",inbound,7,0,0,0
2275.0,"Childrens Way",outbound,2,0,0,0
2275.0,"Starke Road",outbound,3,0,0,0
2275.0,"Christopher Road",inbound,11,0,0,0
2275.0,"Christopher Road",outbound,1,0,0,0
2275.0,"Ruskin Road",outbound,7,0,0,0
2275.0,"Vineyard Road",inbound,11,2,0,0
2275.0,"Vineyard Road",outbound,6,1,0,0
2275.0,"Aristea Road",outbound,7,0,0,0
2275.0,"Dante Road",outbound,7,2,0,0
2275.0,"Airlie Road",outbound,4,1,0,0
2275.0,"Leyden Road",inbound,9,0,0,0
2275.0,"Dreyersdal Road",inbound,13,2,0,0
2275.0,"Dreyersdal Road",outbound,1,0,0,0
2275.0,"Firgrove Way Service Road",outbound,1,0,0,0
2275.0,"Tokai High School Internal Road",inbound,8,0,0,1
2275.0,"Tokai High School Internal Road",outbound,9,1,0,0
2275.0,"Homestead Avenue",inbound,4,1,0,0
2350.0,"Childrens Way",inbound,8,0,0,0
2350.0,"Childrens Way",outbound,3,1,0,0
2350.0,"Starke Road",outbound,4,0,0,0
2350.0,"Christopher Road",inbound,13,1,0,0
2350.0,"Christopher Road",outbound,1,0,0,0
2350.0,"Ruskin Road",outbound,7,0,0,0
2350.0,"Vineyard Road",inbound,12,1,0,0
2350.0,"Vineyard Road",outbound,7,0,0,0
2350.0,"Aristea Road",outbound,8,1,0,0
2350.0,"Dante Road",outbound,7,0,0,0
2350.0,"Airlie Road",outbound,6,0,0,0
2350.0,"Leyden Road",inbound,11,0,0,0
2350.0,"Dreyersdal Road",inbound,16,3,0,0
2350.0,"Dreyersdal Road",outbound,3,2,0,0
2350.0,"Firgrove Way Service Road",outbound,1,0,0,0
2350.0,"Tokai High School Internal Road",inbound,10,0,0,1
2350.0,"Tokai High School Internal Road",outbound,11,2,0,0
2350.0,"Homestead Avenue",inbound,4,0,0,0
2430.0,"Childrens Way",inbound,10,1,0,0
2430.0,"Childrens Way",outbound,3,0,0,0
2430.0,"Starke Road",outbound,5,1,0,0
2430.0,"Christopher Road",inbound,15,0,0,0
2430.0,"Christopher Road",outbound,1,0,0,0
2430.0,"Ruskin Road",outbound,9,0,0,0
2430.0,"Vineyard Road",inbound,15,1,0,0
2430.0,"Vineyard Road",outbound,9,1,0,0
2430.0,"Aristea Road",outbound,10,1,0,0
2430.0,"Dante Road",outbound,9,0,0,0
2430.0,"Airlie Road",outbound,7,0,0,0
2430.0,"Leyden Road",inbound,14,1,0,0
