simTime,road,direction,total_cumulative,active,slowing,stopped
1365.0,"Childrens Way",inbound,1,1,0,0
1365.0,"Dreyersdal Road",inbound,1,1,0,0
1445.0,"Childrens Way",inbound,1,0,0,0
1445.0,"Christopher Road",inbound,1,1,0,0
1445.0,"Dreyersdal Road",inbound,1,0,0,0
1520.0,"Childrens Way",inbound,1,0,0,0
1520.0,"Christopher Road",inbound,1,0,0,0
1520.0,"Vineyard Road",inbound,1,0,0,0
1520.0,"Leyden Road",inbound,1,0,0,0
1520.0,"Dreyersdal Road",inbound,1,0,0,0
1520.0,"Tokai High School Internal Road",outbound,1,1,0,0
1595.0,"Childrens Way",inbound,1,0,0,0
1595.0,"Christopher Road",inbound,1,0,0,0
1595.0,"Vineyard Road",inbound,1,0,0,0
1595.0,"Leyden Road",inbound,1,0,0,0
1595.0,"Dreyersdal Road",inbound,1,0,0,0
1595.0,"Tokai High School Internal Road",inbound,1,0,0,0
1595.0,"Tokai High School Internal Road",outbound,1,1,0,0
1675.0,"Childrens Way",inbound,2,0,0,0
1675.0,"Christopher Road",inbound,1,0,0,0
1675.0,"Ruskin Road",outbound,1,0,0,0
1675.0,"Vineyard Road",inbound,1,0,0,0
1675.0,"Aristea Road",outbound,1,0,0,0
1675.0,"Dante Road",outbound,1,1,0,0
1675.0,"Leyden Road",inbound,1,0,0,0
1675.0,"Dreyersdal Road",inbound,3,2,0,0
1675.0,"Tokai High School Internal Road",inbound,1,0,0,0
1675.0,"Tokai High School Internal Road",outbound,1,0,0,0
1675.0,"Homestead Avenue",inbound,1,0,0,0
1755.0,"Childrens Way",inbound,2,0,0,0
1755.0,"Childrens Way",outbound,1,1,0,0
1755.0,"Starke Road",outbound,1,0,0,0
1755.0,"Christopher Road",inbound,3,0,0,0
1755.0,"Ruskin Road",outbound,1,0,0,0
1755.0,"Vineyard Road",inbound,3,2,0,0
1755.0,"Vineyard Road",outbound,1,0,0,0
1755.0,"Aristea Road",outbound,1,0,0,0
1755.0,"Dante Road",outbound,1,0,0,0
1755.0,"Airlie Road",outbound,1,0,0,0
1755.0,"Leyden Road",inbound,1,0,0,0
1755.0,"Dreyersdal Road",inbound,3,0,0,0
1755.0,"Tokai High School Internal Road",inbound,1,0,0,0
1755.0,"Tokai High School Internal Road",outbound,1,0,0,0
1755.0,"Homestead Avenue",inbound,1,0,0,0
1830.0,"Childrens Way",inbound,3,1,0,0
1830.0,"Childrens Way",outbound,1,0,0,0
1830.0,"Starke Road",outbound,1,0,0,0
1830.0,"Christopher Road",inbound,3,0,0,0
1830.0,"Ruskin Road",outbound,1,0,0,0
1830.0,"Vineyard Road",inbound,3,0,0,0
1830.0,"Vineyard Road",outbound,1,0,0,0
1830.0,"Aristea Road",outbound,1,0,0,0
