simTime,road,direction,total_cumulative,active,slowing,stopped
1390.0,"Childrens Way",inbound,1,0,0,0
1390.0,"Dreyersdal Road",inbound,1,1,0,0
1465.0,"Childrens Way",inbound,1,0,0,0
1465.0,"Christopher Road",inbound,1,0,0,0
1465.0,"Vineyard Road",inbound,1,1,0,0
1465.0,"Dreyersdal Road",inbound,1,0,0,0
1540.0,"Childrens Way",inbound,1,0,0,0
1540.0,"Christopher Road",inbound,1,0,0,0
1540.0,"Vineyard Road",inbound,1,0,0,0
1540.0,"Leyden Road",inbound,1,0,0,0
1540.0,"Dreyersdal Road",inbound,1,0,0,0
1540.0,"Tokai High School Internal Road",inbound,1,0,0,1
1540.0,"Tokai High School Internal Road",outbound,1,0,0,0
1615.0,"Childrens Way",inbound,1,0,0,0
1615.0,"Christopher Road",inbound,1,0,0,0
1615.0,"Vineyard Road",inbound,1,0,0,0
1615.0,"Leyden Road",inbound,1,0,0,0
1615.0,"Dreyersdal Road",inbound,1,0,0,0
1615.0,"Tokai High School Internal Road",inbound,1,0,0,0
1615.0,"Tokai High School Internal Road",outbound,1,1,0,0
1615.0,"Homestead Avenue",inbound,1,1,0,0
1695.0,"Childrens Way",inbound,2,0,0,0
1695.0,"Christopher Road",inbound,1,0,0,0
1695.0,"Ruskin Road",outbound,1,0,0,0
1695.0,"Vineyard Road",inbound,1,0,0,0
1695.0,"Aristea Road",outbound,1,0,0,0
1695.0,"Dante Road",outbound,1,1,0,0
1695.0,"Leyden Road",inbound,1,0,0,0
1695.0,"Dreyersdal Road",inbound,3,2,0,0
1695.0,"Tokai High School Internal Road",inbound,1,0,0,0
1695.0,"Tokai High School Internal Road",outbound,1,0,0,0
1695.0,"Homestead Avenue",inbound,1,0,0,0
1765.0,"Childrens Way",inbound,2,0,0,0
1765.0,"Tussendal Avenue",outbound,1,0,0,0
1765.0,"Christopher Road",inbound,3,0,0,0
1765.0,"Ruskin Road",outbound,1,0,0,0
1765.0,"Vineyard Road",inbound,3,1,0,0
1765.0,"Aristea Road",outbound,1,0,0,0
1765.0,"Dante Road",outbound,1,0,0,0
1765.0,"Airlie Road",outbound,1,0,0,0
1765.0,"Leyden Road",inbound,2,1,0,0
1765.0,"Dreyersdal Road",inbound,3,0,0,0
1765.0,"Dreyersdal Farm Road",outbound,1,1,0,0
1765.0,"Tokai High School Internal Road",inbound,1,0,0,0
1765.0,"Tokai High School Internal Road",outbound,1,0,0,0
1765.0,"Homestead Avenue",inbound,1,0,0,0
1845.0,"Childrens Way",inbound,3,0,0,0
1845.0,"Tussendal Avenue",outbound,1,0,0,0
1845.0,"Christopher Road",inbound,3,0,0,0
1845.0,"Ruskin Road",outbound,1,0,0,0
1845.0,"Vineyard Road",inbound,3,0,0,0
1845.0,"Aristea Road",outbound,1,0,0,0
1845.0,"Dante Road",outbound,1,0,0,0
1845.0,"Airlie Road",outbound,1,0,0,0
1845.0,"Leyden Road",inbound,3,0,0,0
1845.0,"Dreyersdal Road",inbound,4,1,0,0
