simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
505.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
505.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
670.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
710.0,1,dwell,EG-A,2B,0.1133,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
755.0,1,outbound,EG-A,2B,0.1133,0.00,0,—,OUTBOUND_START,""
755.0,1,outbound,EG-A,2B,0.1133,0.00,0,—,DELAY_START,"jIdx=0"
775.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
775.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
805.0,3,inbound,2B-RR2,2B,0.0000,0.00,0,—,SPAWN,"route=2B-RR2"
805.0,3,inbound,2B-RR2,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
935.0,1,outbound,EG-A,2B,1.0000,0.00,8,960.0,DELAY_START,"jIdx=8"
950.0,2,inbound,2A,2A,1.0000,0.00,5,—,DELAY_START,"jIdx=5"
960.0,1,outbound,EG-A,2B,1.0000,0.00,8,960.0,EXIT,"totalTrip=455.0s egressRoute=EG-A"
980.0,3,inbound,2B-RR2,2B,1.0010,0.00,7,—,DELAY_START,"jIdx=7"
985.0,2,dwell,EG-A,2A,0.0945,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1010.0,3,dwell,EG-E,2B,0.0595,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1020.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1020.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1030.0,2,outbound,EG-A,2A,0.0945,0.00,0,—,OUTBOUND_START,""
1030.0,2,outbound,EG-A,2A,0.0945,0.00,0,—,DELAY_START,"jIdx=0"
1055.0,3,outbound,EG-E,2B,0.0595,0.00,0,—,OUTBOUND_START,""
