simTime,road,direction,total_cumulative,active,slowing,stopped
550.0,"Childrens Way",inbound,1,0,0,0
550.0,"Dreyersdal Road",inbound,1,1,0,0
630.0,"Childrens Way",inbound,1,0,0,0
630.0,"Christopher Road",inbound,1,0,0,0
630.0,"Vineyard Road",inbound,1,1,0,0
630.0,"Dreyersdal Road",inbound,1,0,0,0
710.0,"Childrens Way",inbound,1,0,0,0
710.0,"Christopher Road",inbound,1,0,0,0
710.0,"Vineyard Road",inbound,1,0,0,0
710.0,"Leyden Road",inbound,1,0,0,0
710.0,"Dreyersdal Road",inbound,1,0,0,0
710.0,"Tokai High School Internal Road",outbound,1,1,0,0
790.0,"Childrens Way",inbound,1,0,0,0
790.0,"Christopher Road",inbound,1,0,0,0
790.0,"Vineyard Road",inbound,1,0,0,0
790.0,"Aristea Road",outbound,1,1,0,0
790.0,"Leyden Road",inbound,1,0,0,0
790.0,"Dreyersdal Road",inbound,1,0,0,0
790.0,"Tokai High School Internal Road",inbound,1,0,0,0
790.0,"Tokai High School Internal Road",outbound,1,1,0,0
790.0,"Homestead Avenue",inbound,1,1,0,0
870.0,"Childrens Way",inbound,2,0,0,0
870.0,"Starke Road",outbound,1,1,0,0
870.0,"Christopher Road",inbound,2,1,0,0
870.0,"Christopher Road",outbound,1,0,0,0
870.0,"Ruskin Road",outbound,1,0,0,0
870.0,"Vineyard Road",inbound,1,0,0,0
870.0,"Vineyard Road",outbound,1,0,0,0
870.0,"Aristea Road",outbound,1,0,0,0
870.0,"Dante Road",outbound,1,0,0,0
870.0,"Leyden Road",inbound,1,0,0,0
870.0,"Dreyersdal Road",inbound,3,1,0,0
870.0,"Tokai High School Internal Road",inbound,1,0,0,0
870.0,"Tokai High School Internal Road",outbound,1,0,0,0
870.0,"Homestead Avenue",inbound,1,0,0,0
945.0,"Childrens Way",inbound,2,0,0,0
945.0,"Starke Road",outbound,1,0,0,0
945.0,"Christopher Road",inbound,3,0,0,0
945.0,"Christopher Road",outbound,1,0,0,0
945.0,"Ruskin Road",outbound,1,0,0,0
945.0,"Vineyard Road",inbound,3,1,0,0
945.0,"Vineyard Road",outbound,1,0,0,0
945.0,"Aristea Road",outbound,1,0,0,0
945.0,"Dante Road",outbound,1,0,0,0
945.0,"Leyden Road",inbound,2,0,0,1
945.0,"Dreyersdal Road",inbound,3,0,0,0
945.0,"Tokai High School Internal Road",inbound,1,0,0,0
945.0,"Tokai High School Internal Road",outbound,1,0,0,0
945.0,"Homestead Avenue",inbound,1,0,0,0
945.0,"Homestead Avenue",outbound,1,1,0,0
1025.0,"Childrens Way",inbound,3,1,0,0
1025.0,"Starke Road",outbound,1,0,0,0
1025.0,"Christopher Road",inbound,3,0,0,0
1025.0,"Christopher Road",outbound,1,0,0,0
1025.0,"Ruskin Road",outbound,1,0,0,0
1025.0,"Vineyard Road",inbound,3,0,0,0
1025.0,"Vineyard Road",outbound,1,0,0,0
1025.0,"Aristea Road",outbound,1,0,0,0
1025.0,"Dante Road",outbound,1,0,0,0
1025.0,"Leyden Road",inbound,3,0,0,0
1025.0,"Dreyersdal Road",inbound,3,0,0,0
1025.0,"Tokai High School Internal Road",inbound,3,0,0,1
1025.0,"Tokai High School Internal Road",outbound,3,1,0,0
1025.0,"Homestead Avenue",inbound,1,0,0,0
1025.0,"Homestead Avenue",outbound,1,0,0,0
1100.0,"Childrens Way",inbound,3,0,0,0
1100.0,"Starke Road",outbound,1,0,0,0
1100.0,"Christopher Road",inbound,3,0,0,0
1100.0,"Christopher Road",outbound,1,0,0,0
1100.0,"Ruskin Road",outbound,2,1,0,0
1100.0,"Vineyard Road",inbound,3,0,0,0
1100.0,"Vineyard Road",outbound,1,0,0,0
1100.0,"Aristea Road",outbound,3,1,0,0
1100.0,"Dante Road",outbound,1,0,0,0
1100.0,"Leyden Road",inbound,3,0,0,0
1100.0,"Dreyersdal Road",inbound,5,2,0,0
1100.0,"Tokai High School Internal Road",inbound,3,0,0,0
1100.0,"Tokai High School Internal Road",outbound,3,0,0,0
1100.0,"Homestead Avenue",inbound,1,0,0,0
1100.0,"Homestead Avenue",outbound,1,0,0,0
1175.0,"Childrens Way",inbound,3,0,0,0
1175.0,"Childrens Way",outbound,1,1,0,0
1175.0,"Starke Road",outbound,3,1,0,0
1175.0,"Christopher Road",inbound,4,0,0,0
1175.0,"Christopher Road",outbound,1,0,0,0
1175.0,"Ruskin Road",outbound,3,0,0,0
1175.0,"Vineyard Road",inbound,4,0,0,0
1175.0,"Vineyard Road",outbound,3,0,0,0
1175.0,"Aristea Road",outbound,3,0,0,0
1175.0,"Dante Road",outbound,3,0,0,0
1175.0,"Airlie Road",outbound,2,0,0,0
1175.0,"Leyden Road",inbound,4,1,0,0
1175.0,"Dreyersdal Road",inbound,5,1,0,0
1175.0,"Tokai High School Internal Road",inbound,3,0,0,0
1175.0,"Tokai High School Internal Road",outbound,3,0,0,0
1175.0,"Homestead Avenue",inbound,2,1,0,0
1175.0,"Homestead Avenue",outbound,1,0,0,0
1255.0,"Childrens Way",inbound,4,0,0,0
1255.0,"Childrens Way",outbound,2,0,0,1
1255.0,"Starke Road",outbound,3,0,0,0
1255.0,"Christopher Road",inbound,6,1,0,0
1255.0,"Christopher Road",outbound,1,0,0,0
1255.0,"Ruskin Road",outbound,3,0,0,0
1255.0,"Vineyard Road",inbound,5,1,0,0
1255.0,"Vineyard Road",outbound,3,0,0,0
1255.0,"Aristea Road",outbound,3,0,0,0
1255.0,"Dante Road",outbound,3,0,0,0
1255.0,"Airlie Road",outbound,2,0,0,0
1255.0,"Leyden Road",inbound,4,0,0,0
1255.0,"Dreyersdal Road",inbound,8,2,0,0
1255.0,"Tokai High School Internal Road",inbound,4,0,0,0
1255.0,"Tokai High School Internal Road",outbound,4,1,0,0
1255.0,"Homestead Avenue",inbound,2,0,0,0
1255.0,"Homestead Avenue",outbound,1,0,0,0
1330.0,"Childrens Way",inbound,4,0,0,0
1330.0,"Childrens Way",outbound,2,0,0,0
1330.0,"Starke Road",outbound,3,0,0,0
1330.0,"Christopher Road",inbound,7,0,0,0
1330.0,"Christopher Road",outbound,1,0,0,0
1330.0,"Ruskin Road",outbound,4,1,0,0
1330.0,"Vineyard Road",inbound,7,1,0,0
1330.0,"Vineyard Road",outbound,3,0,0,0
1330.0,"Aristea Road",outbound,4,0,0,0
1330.0,"Dante Road",outbound,3,0,0,0
1330.0,"Airlie Road",outbound,2,0,0,0
1330.0,"Leyden Road",inbound,6,0,0,1
1330.0,"Dreyersdal Road",inbound,8,1,0,0
1330.0,"Tokai High School Internal Road",inbound,5,0,0,1
1330.0,"Tokai High School Internal Road",outbound,5,0,0,0
1330.0,"Homestead Avenue",inbound,2,0,0,0
1330.0,"Homestead Avenue",outbound,1,0,0,0
1410.0,"Childrens Way",inbound,5,0,0,0
1410.0,"Childrens Way",outbound,3,1,0,0
1410.0,"Starke Road",inbound,1,1,0,0
1410.0,"Starke Road",outbound,4,0,0,0
1410.0,"Christopher Road",inbound,7,0,0,0
1410.0,"Christopher Road",outbound,1,0,0,0
1410.0,"Ruskin Road",outbound,4,0,0,0
1410.0,"Vineyard Road",inbound,7,0,0,0
1410.0,"Vineyard Road",outbound,4,0,0,0
1410.0,"Aristea Road",outbound,4,0,0,0
1410.0,"Dante Road",outbound,4,0,0,0
1410.0,"Airlie Road",outbound,3,0,0,0
1410.0,"Leyden Road",inbound,7,0,0,0
1410.0,"Dreyersdal Road",inbound,8,1,0,0
1410.0,"Tokai High School Internal Road",inbound,7,0,0,2
1410.0,"Tokai High School Internal Road",outbound,7,1,0,0
1410.0,"Homestead Avenue",inbound,2,0,0,0
1410.0,"Homestead Avenue",outbound,1,0,0,0
1480.0,"Childrens Way",inbound,6,1,0,0
1480.0,"Childrens Way",outbound,3,0,0,0
1480.0,"Starke Road",inbound,1,0,0,0
1480.0,"Starke Road",outbound,4,0,0,0
1480.0,"Christopher Road",inbound,9,0,0,0
1480.0,"Christopher Road",outbound,1,0,0,0
1480.0,"Ruskin Road",outbound,6,1,0,0
1480.0,"Vineyard Road",inbound,9,2,0,0
1480.0,"Vineyard Road",outbound,4,0,0,0
1480.0,"Aristea Road",outbound,7,1,0,0
1480.0,"Dante Road",outbound,5,1,0,0
1480.0,"Airlie Road",outbound,3,0,0,0
1480.0,"Leyden Road",inbound,7,0,0,0
1480.0,"Dreyersdal Road",inbound,9,1,0,0
1480.0,"Tokai High School Internal Road",inbound,7,0,0,0
1480.0,"Tokai High School Internal Road",outbound,7,1,0,0
1480.0,"Homestead Avenue",inbound,3,0,0,0
1480.0,"Homestead Avenue",outbound,1,0,0,0
1550.0,"Childrens Way",inbound,6,0,0,0
1550.0,"Childrens Way",outbound,3,0,0,0
