simTime,road,direction,total_cumulative,active,slowing,stopped
535.0,"Childrens Way",inbound,1,0,0,0
535.0,"Dreyersdal Road",inbound,1,1,0,0
610.0,"Childrens Way",inbound,1,0,0,0
610.0,"Christopher Road",inbound,1,0,0,0
610.0,"Vineyard Road",inbound,1,1,0,0
610.0,"Dreyersdal Road",inbound,1,0,0,0
690.0,"Childrens Way",inbound,1,0,0,0
690.0,"Christopher Road",inbound,1,0,0,0
690.0,"Vineyard Road",inbound,1,0,0,0
690.0,"Leyden Road",inbound,1,0,0,0
690.0,"Dreyersdal Road",inbound,1,0,0,0
690.0,"Tokai High School Internal Road",outbound,1,1,0,0
770.0,"Childrens Way",inbound,1,0,0,0
770.0,"Christopher Road",inbound,1,0,0,0
770.0,"Vineyard Road",inbound,1,0,0,0
770.0,"Leyden Road",inbound,1,0,0,0
770.0,"Dreyersdal Road",inbound,1,0,0,0
770.0,"Tokai High School Internal Road",inbound,1,0,0,0
770.0,"Tokai High School Internal Road",outbound,1,1,0,0
840.0,"Childrens Way",inbound,2,0,0,0
840.0,"Christopher Road",inbound,1,0,0,0
840.0,"Ruskin Road",outbound,1,0,0,0
840.0,"Vineyard Road",inbound,1,0,0,0
840.0,"Vineyard Road",outbound,1,1,0,0
840.0,"Aristea Road",outbound,1,0,0,0
840.0,"Dante Road",outbound,1,0,0,0
840.0,"Leyden Road",inbound,1,0,0,0
840.0,"Dreyersdal Road",inbound,3,2,0,0
840.0,"Tokai High School Internal Road",inbound,1,0,0,0
840.0,"Tokai High School Internal Road",outbound,1,0,0,0
840.0,"Homestead Avenue",inbound,1,0,0,0
915.0,"Childrens Way",inbound,2,0,0,0
915.0,"Christopher Road",inbound,3,0,0,0
915.0,"Ruskin Road",outbound,1,0,0,0
915.0,"Vineyard Road",inbound,3,2,0,0
915.0,"Vineyard Road",outbound,1,0,0,0
915.0,"Aristea Road",outbound,1,0,0,0
915.0,"Dante Road",outbound,1,0,0,0
915.0,"Airlie Road",outbound,1,0,0,0
915.0,"Leyden Road",inbound,1,0,0,0
915.0,"Dreyersdal Road",inbound,3,0,0,0
915.0,"Dreyersdal Road",outbound,1,1,0,0
915.0,"Tokai High School Internal Road",inbound,1,0,0,0
915.0,"Tokai High School Internal Road",outbound,1,0,0,0
915.0,"Homestead Avenue",inbound,1,0,0,0
995.0,"Childrens Way",inbound,2,0,0,0
995.0,"Christopher Road",inbound,3,0,0,0
995.0,"Ruskin Road",outbound,1,0,0,0
995.0,"Vineyard Road",inbound,3,0,0,0
995.0,"Vineyard Road",outbound,1,0,0,0
995.0,"Aristea Road",outbound,1,0,0,0
995.0,"Dante Road",outbound,1,0,0,0
995.0,"Airlie Road",outbound,1,0,0,0
995.0,"Leyden Road",inbound,3,0,0,0
995.0,"Dreyersdal Road",inbound,3,0,0,0
995.0,"Dreyersdal Road",outbound,1,0,0,0
995.0,"Tokai High School Internal Road",inbound,2,0,0,1
995.0,"Tokai High School Internal Road",outbound,3,1,0,0
995.0,"Homestead Avenue",inbound,1,0,0,0
1075.0,"Childrens Way",inbound,3,0,0,0
1075.0,"Christopher Road",inbound,3,0,0,0
1075.0,"Ruskin Road",outbound,1,0,0,0
1075.0,"Vineyard Road",inbound,3,0,0,0
1075.0,"Vineyard Road",outbound,1,0,0,0
1075.0,"Aristea Road",outbound,2,1,0,0
1075.0,"Dante Road",outbound,1,0,0,0
1075.0,"Airlie Road",outbound,1,0,0,0
1075.0,"Leyden Road",inbound,3,0,0,0
1075.0,"Dreyersdal Road",inbound,4,1,0,0
1075.0,"Dreyersdal Road",outbound,1,0,0,0
1075.0,"Tokai High School Internal Road",inbound,3,0,0,0
1075.0,"Tokai High School Internal Road",outbound,3,1,0,0
1075.0,"Homestead Avenue",inbound,1,0,0,0
1150.0,"Childrens Way",inbound,3,0,0,0
1150.0,"Starke Road",outbound,1,1,0,0
1150.0,"Christopher Road",inbound,4,0,0,0
1150.0,"Ruskin Road",outbound,2,0,0,0
1150.0,"Alban Road",outbound,1,0,0,0
1150.0,"Vineyard Road",inbound,4,1,0,0
1150.0,"Vineyard Road",outbound,2,1,0,0
1150.0,"Aristea Road",outbound,3,0,0,0
1150.0,"Dante Road",outbound,2,0,0,0
1150.0,"Airlie Road",outbound,1,0,0,0
1150.0,"Leyden Road",inbound,3,0,0,0
1150.0,"Dreyersdal Road",inbound,5,1,0,0
1150.0,"Dreyersdal Road",outbound,1,0,0,0
1150.0,"Tokai High School Internal Road",inbound,3,0,0,0
1150.0,"Tokai High School Internal Road",outbound,3,0,0,0
1150.0,"Homestead Avenue",inbound,1,0,0,0
1230.0,"Childrens Way",inbound,4,0,0,0
1230.0,"Starke Road",outbound,2,1,0,0
1230.0,"Christopher Road",inbound,5,1,0,0
1230.0,"Christopher Road",outbound,1,0,0,0
1230.0,"Ruskin Road",outbound,2,0,0,0
1230.0,"Alban Road",outbound,1,0,0,0
1230.0,"Vineyard Road",inbound,4,0,0,0
1230.0,"Vineyard Road",outbound,2,0,0,0
1230.0,"Aristea Road",outbound,3,0,0,0
1230.0,"Dante Road",outbound,2,0,0,0
1230.0,"Airlie Road",outbound,1,0,0,0
1230.0,"Leyden Road",inbound,4,0,0,0
1230.0,"Dreyersdal Road",inbound,7,2,0,0
