simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
180.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
180.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
210.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
210.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
310.0,1,inbound,2B,2B,1.0013,0.00,6,—,DELAY_START,"jIdx=6"
330.0,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
330.0,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
340.0,4,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
340.0,4,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
345.0,2,inbound,2A,2A,1.0006,0.00,5,—,DELAY_START,"jIdx=5"
350.0,1,dwell,EG-B,2B,0.0889,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
365.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
365.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
380.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
380.0,2,dwell,EG-E,2A,0.0743,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
380.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
395.0,1,outbound,EG-B,2B,0.0889,0.00,0,—,OUTBOUND_START,""
395.0,1,outbound,EG-B,2B,0.0889,0.00,0,—,DELAY_START,"jIdx=0"
425.0,2,outbound,EG-E,2A,0.0743,0.00,0,—,OUTBOUND_START,""
425.0,2,outbound,EG-E,2A,0.0743,0.00,0,—,DELAY_START,"jIdx=0"
455.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
455.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
460.0,3,inbound,2B,2B,1.0013,0.00,6,—,DELAY_START,"jIdx=6"
480.0,5,inbound,1A,1A,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
485.0,3,dwell,EG-A,2B,0.0569,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
515.0,4,inbound,3A,3A,1.0002,0.00,6,—,DELAY_START,"jIdx=6"
520.0,8,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
520.0,5,dwell,EG-E,1A,0.0890,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
520.0,8,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
525.0,6,inbound,2A,2A,1.0009,0.00,5,—,DELAY_START,"jIdx=5"
530.0,3,outbound,EG-A,2B,0.0569,0.00,0,—,OUTBOUND_START,""
530.0,3,outbound,EG-A,2B,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
540.0,4,dwell,EG-D,3A,0.0346,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
545.0,7,inbound,2B,2B,0.6829,0.00,4,542.5,DELAY_START,"jIdx=4"
550.0,6,dwell,EG-A,2A,0.0564,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
565.0,9,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
565.0,5,outbound,EG-E,1A,0.0890,0.00,0,—,OUTBOUND_START,""
565.0,5,outbound,EG-E,1A,0.0890,0.00,0,—,DELAY_START,"jIdx=0"
565.0,9,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
585.0,10,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
585.0,4,outbound,EG-D,3A,0.0346,0.00,0,—,OUTBOUND_START,""
585.0,4,outbound,EG-D,3A,0.0346,0.00,0,—,DELAY_START,"jIdx=0"
585.0,10,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
595.0,6,outbound,EG-A,2A,0.0564,0.00,0,—,OUTBOUND_START,""
595.0,6,outbound,EG-A,2A,0.0564,0.00,0,—,DELAY_START,"jIdx=0"
595.0,7,inbound,2B,2B,1.0012,0.00,6,—,DELAY_START,"jIdx=6"
615.0,7,dwell,EG-A,2B,0.0381,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
625.0,11,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
625.0,11,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
645.0,12,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
645.0,12,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
655.0,8,inbound,2A,2A,1.0005,0.00,5,—,DELAY_START,"jIdx=5"
660.0,7,outbound,EG-A,2B,0.0381,0.00,0,—,OUTBOUND_START,""
660.0,7,outbound,EG-A,2B,0.0381,0.00,0,—,DELAY_START,"jIdx=0"
670.0,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
670.0,13,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
695.0,9,inbound,2B,2B,1.0004,0.00,6,—,DELAY_START,"jIdx=6"
710.0,8,dwell,EG-D,2A,0.1067,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
715.0,11,inbound,1A,1A,0.7625,0.00,4,712.5,DELAY_START,"jIdx=4"
730.0,9,dwell,EG-A,2B,0.0944,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
750.0,11,inbound,1A,1A,1.0008,0.00,6,—,DELAY_START,"jIdx=6"
755.0,14,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
755.0,8,outbound,EG-D,2A,0.1067,0.00,0,—,OUTBOUND_START,""
755.0,8,outbound,EG-D,2A,0.1067,0.00,0,—,DELAY_START,"jIdx=0"
755.0,14,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
760.0,15,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
760.0,15,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
775.0,9,outbound,EG-A,2B,0.0944,0.00,0,—,OUTBOUND_START,""
775.0,9,outbound,EG-A,2B,0.0944,0.00,0,—,DELAY_START,"jIdx=0"
775.0,10,inbound,3A,3A,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
780.0,16,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
780.0,11,dwell,EG-C,1A,0.0582,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
780.0,16,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
785.0,12,inbound,2A,2A,1.0009,0.00,5,—,DELAY_START,"jIdx=5"
790.0,13,inbound,2B,2B,0.9297,0.00,5,—,DELAY_START,"jIdx=5"
810.0,12,dwell,EG-B,2A,0.0447,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
810.0,13,inbound,2B,2B,1.0014,0.00,6,—,DELAY_START,"jIdx=6"
815.0,10,dwell,EG-E,3A,0.0888,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
825.0,11,outbound,EG-C,1A,0.0582,0.00,0,—,OUTBOUND_START,""
825.0,11,outbound,EG-C,1A,0.0582,0.00,0,—,DELAY_START,"jIdx=0"
830.0,17,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
830.0,13,dwell,EG-A,2B,0.0377,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
830.0,17,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
845.0,18,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
845.0,18,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
855.0,19,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
855.0,12,outbound,EG-B,2A,0.0447,0.00,0,—,OUTBOUND_START,""
855.0,12,outbound,EG-B,2A,0.0447,0.00,0,—,DELAY_START,"jIdx=0"
855.0,14,inbound,2A,2A,0.6964,0.00,3,852.5,DELAY_START,"jIdx=3"
855.0,19,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
860.0,10,outbound,EG-E,3A,0.0888,0.00,0,—,OUTBOUND_START,""
860.0,10,outbound,EG-E,3A,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
875.0,13,outbound,EG-A,2B,0.0377,0.00,0,—,OUTBOUND_START,""
875.0,13,outbound,EG-A,2B,0.0377,0.00,0,—,DELAY_START,"jIdx=0"
885.0,17,inbound,1A,1A,0.4310,0.00,1,—,DELAY_START,"jIdx=1"
890.0,15,inbound,2B,2B,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
895.0,14,inbound,2A,2A,0.9344,0.00,4,—,DELAY_START,"jIdx=4"
910.0,15,dwell,EG-E,2B,0.0300,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
915.0,14,inbound,2A,2A,1.0014,0.00,5,—,DELAY_START,"jIdx=5"
925.0,20,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
925.0,20,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
950.0,21,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
950.0,22,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
950.0,21,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
950.0,22,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
955.0,14,dwell,EG-B,2A,0.0889,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
955.0,15,outbound,EG-E,2B,0.0300,0.00,0,—,OUTBOUND_START,""
955.0,15,outbound,EG-E,2B,0.0300,0.00,0,—,DELAY_START,"jIdx=0"
955.0,16,inbound,3A,3A,1.0004,0.00,6,—,DELAY_START,"jIdx=6"
960.0,9,outbound,EG-A,2B,1.0000,0.00,8,960.0,DELAY_START,"jIdx=8"
965.0,17,inbound,1A,1A,0.9441,0.05,5,—,DELAY_START,"jIdx=5"
975.0,18,inbound,2B,2B,1.0009,0.00,6,—,DELAY_START,"jIdx=6"
985.0,17,inbound,1A,1A,1.0006,0.00,6,—,DELAY_START,"jIdx=6"
990.0,16,dwell,EG-A,3A,0.0936,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
