simTime,road,direction,total_cumulative,active,slowing,stopped
755.0,"Childrens Way",inbound,1,1,0,0
825.0,"Childrens Way",inbound,1,0,0,0
825.0,"Dreyersdal Road",inbound,1,1,0,0
925.0,"Childrens Way",inbound,1,0,0,0
925.0,"Christopher Road",inbound,1,0,0,0
925.0,"Vineyard Road",inbound,1,0,0,0
925.0,"Leyden Road",inbound,1,0,0,0
925.0,"Dreyersdal Road",inbound,1,0,0,0
925.0,"Tokai High School Internal Road",outbound,1,1,0,0
1005.0,"Childrens Way",inbound,1,0,0,0
1005.0,"Christopher Road",inbound,1,0,0,0
1005.0,"Vineyard Road",inbound,1,0,0,0
1005.0,"Leyden Road",inbound,1,0,0,0
1005.0,"Dreyersdal Road",inbound,1,0,0,0
1005.0,"Tokai High School Internal Road",inbound,1,0,0,0
1005.0,"Tokai High School Internal Road",outbound,1,1,0,0
1080.0,"Childrens Way",inbound,2,1,0,0
1080.0,"Christopher Road",inbound,1,0,0,0
1080.0,"Ruskin Road",outbound,1,0,0,0
1080.0,"Vineyard Road",inbound,1,0,0,0
1080.0,"Vineyard Road",outbound,1,1,0,0
1080.0,"Aristea Road",outbound,1,0,0,0
1080.0,"Dante Road",outbound,1,1,0,0
1080.0,"Leyden Road",inbound,1,0,0,0
1080.0,"Dreyersdal Road",inbound,2,1,0,0
1080.0,"Tokai High School Internal Road",inbound,1,0,0,0
1080.0,"Tokai High School Internal Road",outbound,1,0,0,0
1080.0,"Homestead Avenue",inbound,1,0,0,0
1155.0,"Childrens Way",inbound,2,0,0,0
1155.0,"Starke Road",outbound,1,1,0,0
1155.0,"Christopher Road",inbound,3,1,0,0
1155.0,"Christopher Road",outbound,1,0,0,0
1155.0,"Ruskin Road",outbound,1,0,0,0
1155.0,"Vineyard Road",inbound,2,1,0,0
1155.0,"Vineyard Road",outbound,1,0,0,0
1155.0,"Aristea Road",outbound,1,0,0,0
1155.0,"Dante Road",outbound,1,0,0,0
1155.0,"Leyden Road",inbound,1,0,0,0
1155.0,"Dreyersdal Road",inbound,3,0,0,0
1155.0,"Tokai High School Internal Road",inbound,1,0,0,0
1155.0,"Tokai High School Internal Road",outbound,1,0,0,0
1155.0,"Homestead Avenue",inbound,1,0,0,0
1235.0,"Childrens Way",inbound,2,0,0,0
1235.0,"Starke Road",outbound,1,1,0,0
1235.0,"Christopher Road",inbound,3,0,0,0
1235.0,"Christopher Road",outbound,1,0,0,0
1235.0,"Ruskin Road",outbound,1,0,0,0
1235.0,"Vineyard Road",inbound,3,0,0,0
1235.0,"Vineyard Road",outbound,1,0,0,0
1235.0,"Aristea Road",outbound,1,0,0,0
1235.0,"Dante Road",outbound,1,0,0,0
1235.0,"Leyden Road",inbound,3,0,0,1
1235.0,"Dreyersdal Road",inbound,3,0,0,0
1235.0,"Firgrove Way Service Road",outbound,1,1,0,0
1235.0,"Tokai High School Internal Road",inbound,1,0,0,0
1235.0,"Tokai High School Internal Road",outbound,2,1,0,0
1235.0,"Homestead Avenue",inbound,1,0,0,0
1315.0,"Childrens Way",inbound,3,0,0,0
1315.0,"Starke Road",outbound,1,0,0,0
1315.0,"Christopher Road",inbound,3,0,0,0
1315.0,"Christopher Road",outbound,1,0,0,0
1315.0,"Ruskin Road",outbound,1,0,0,0
1315.0,"Vineyard Road",inbound,3,0,0,0
1315.0,"Vineyard Road",outbound,1,0,0,0
1315.0,"Aristea Road",outbound,1,0,0,0
1315.0,"Dante Road",outbound,1,0,0,0
1315.0,"Leyden Road",inbound,3,0,0,0
1315.0,"Dreyersdal Road",inbound,4,1,0,0
1315.0,"Firgrove Way Service Road",outbound,1,0,0,0
1315.0,"Tokai High School Internal Road",inbound,3,0,0,1
1315.0,"Tokai High School Internal Road",outbound,3,1,0,0
1315.0,"Homestead Avenue",inbound,1,0,0,0
1390.0,"Childrens Way",inbound,3,0,0,0
1390.0,"Starke Road",outbound,1,0,0,0
1390.0,"Christopher Road",inbound,4,0,0,0
1390.0,"Christopher Road",outbound,1,0,0,0
1390.0,"Ruskin Road",outbound,3,1,0,0
1390.0,"Vineyard Road",inbound,4,1,0,0
1390.0,"Vineyard Road",outbound,2,1,0,0
1390.0,"Aristea Road",outbound,3,0,0,0
1390.0,"Dante Road",outbound,3,1,0,0
1390.0,"Leyden Road",inbound,3,0,0,0
1390.0,"Dreyersdal Road",inbound,5,1,0,0
1390.0,"Firgrove Way Service Road",outbound,1,0,0,0
1390.0,"Tokai High School Internal Road",inbound,3,0,0,0
1390.0,"Tokai High School Internal Road",outbound,3,0,0,0
1390.0,"Homestead Avenue",inbound,1,0,0,0
1465.0,"Childrens Way",inbound,4,1,0,0
1465.0,"Starke Road",outbound,2,1,0,0
1465.0,"Christopher Road",inbound,4,0,0,0
1465.0,"Christopher Road",outbound,2,0,0,0
1465.0,"Ruskin Road",outbound,3,0,0,0
1465.0,"Vineyard Road",inbound,4,0,0,0
1465.0,"Vineyard Road",outbound,3,0,0,0
1465.0,"Aristea Road",outbound,3,0,0,0
1465.0,"Dante Road",outbound,3,0,0,0
1465.0,"Airlie Road",outbound,1,0,0,0
1465.0,"Leyden Road",inbound,4,0,0,0
1465.0,"Dreyersdal Road",inbound,7,3,0,0
1465.0,"Dreyersdal Road",outbound,1,1,0,0
1465.0,"Firgrove Way Service Road",outbound,1,0,0,0
1465.0,"Tokai High School Internal Road",inbound,3,0,0,0
1465.0,"Tokai High School Internal Road",outbound,4,1,0,0
1465.0,"Homestead Avenue",inbound,2,0,0,0
1545.0,"Childrens Way",inbound,4,0,0,0
1545.0,"Starke Road",outbound,2,1,0,0
1545.0,"Christopher Road",inbound,7,1,0,0
1545.0,"Christopher Road",outbound,2,0,0,0
1545.0,"Ruskin Road",outbound,3,0,0,0
1545.0,"Vineyard Road",inbound,6,1,0,0
