simTime,road,direction,total_cumulative,active,slowing,stopped
760.0,"Childrens Way",inbound,1,1,0,0
830.0,"Childrens Way",inbound,1,0,0,0
830.0,"Dreyersdal Road",inbound,1,1,0,0
900.0,"Childrens Way",inbound,1,0,0,0
900.0,"Christopher Road",inbound,1,0,0,0
900.0,"Vineyard Road",inbound,1,0,0,0
900.0,"Leyden Road",inbound,1,1,0,0
900.0,"Dreyersdal Road",inbound,1,0,0,0
975.0,"Childrens Way",inbound,1,0,0,0
975.0,"Christopher Road",inbound,1,0,0,0
975.0,"Vineyard Road",inbound,1,0,0,0
975.0,"Leyden Road",inbound,1,0,0,0
975.0,"Dreyersdal Road",inbound,1,0,0,0
975.0,"Tokai High School Internal Road",inbound,1,0,0,1
975.0,"Tokai High School Internal Road",outbound,1,0,0,0
1050.0,"Childrens Way",inbound,1,0,0,0
1050.0,"Christopher Road",inbound,1,0,0,0
1050.0,"Vineyard Road",inbound,1,0,0,0
1050.0,"Aristea Road",outbound,1,1,0,0
1050.0,"Leyden Road",inbound,1,0,0,0
1050.0,"Dreyersdal Road",inbound,1,0,0,0
1050.0,"Tokai High School Internal Road",inbound,1,0,0,0
1050.0,"Tokai High School Internal Road",outbound,1,0,0,0
1050.0,"Homestead Avenue",inbound,1,1,0,0
1120.0,"Childrens Way",inbound,2,0,0,0
1120.0,"Christopher Road",inbound,1,0,0,0
1120.0,"Ruskin Road",outbound,1,0,0,0
1120.0,"Vineyard Road",inbound,1,0,0,0
1120.0,"Vineyard Road",outbound,1,0,0,0
1120.0,"Aristea Road",outbound,1,0,0,0
1120.0,"Dante Road",outbound,1,0,0,0
1120.0,"Airlie Road",outbound,1,1,0,0
1120.0,"Leyden Road",inbound,1,0,0,0
1120.0,"Dreyersdal Road",inbound,3,2,0,0
1120.0,"Tokai High School Internal Road",inbound,1,0,0,0
1120.0,"Tokai High School Internal Road",outbound,1,0,0,0
1120.0,"Homestead Avenue",inbound,1,0,0,0
1200.0,"Childrens Way",inbound,2,0,0,0
1200.0,"Christopher Road",inbound,3,0,0,0
1200.0,"Ruskin Road",outbound,1,0,0,0
1200.0,"Vineyard Road",inbound,3,1,0,0
1200.0,"Vineyard Road",outbound,1,0,0,0
1200.0,"Aristea Road",outbound,1,0,0,0
1200.0,"Dante Road",outbound,1,0,0,0
1200.0,"Airlie Road",outbound,1,0,0,0
1200.0,"Leyden Road",inbound,2,1,0,0
1200.0,"Dreyersdal Road",inbound,3,0,0,0
1200.0,"Dreyersdal Road",outbound,1,1,0,0
1200.0,"Tokai High School Internal Road",inbound,1,0,0,0
1200.0,"Tokai High School Internal Road",outbound,1,0,0,0
1200.0,"Homestead Avenue",inbound,1,0,0,0
1275.0,"Childrens Way",inbound,2,0,0,0
1275.0,"Christopher Road",inbound,3,0,0,0
1275.0,"Ruskin Road",outbound,1,0,0,0
1275.0,"Vineyard Road",inbound,3,0,0,0
1275.0,"Vineyard Road",outbound,1,0,0,0
1275.0,"Aristea Road",outbound,1,0,0,0
1275.0,"Dante Road",outbound,1,0,0,0
1275.0,"Airlie Road",outbound,1,0,0,0
1275.0,"Leyden Road",inbound,3,0,0,0
1275.0,"Dreyersdal Road",inbound,3,0,0,0
1275.0,"Dreyersdal Road",outbound,1,0,0,0
1275.0,"Tokai High School Internal Road",inbound,2,0,0,1
1275.0,"Tokai High School Internal Road",outbound,3,1,0,0
1275.0,"Homestead Avenue",inbound,1,0,0,0
1350.0,"Childrens Way",inbound,3,0,0,0
1350.0,"Christopher Road",inbound,3,0,0,0
1350.0,"Ruskin Road",outbound,1,0,0,0
1350.0,"Vineyard Road",inbound,3,0,0,0
1350.0,"Vineyard Road",outbound,1,0,0,0
1350.0,"Aristea Road",outbound,2,1,0,0
1350.0,"Dante Road",outbound,1,0,0,0
1350.0,"Airlie Road",outbound,1,0,0,0
1350.0,"Leyden Road",inbound,3,0,0,0
1350.0,"Dreyersdal Road",inbound,5,2,0,0
1350.0,"Dreyersdal Road",outbound,1,0,0,0
