simTime,road,direction,total_cumulative,active,slowing,stopped
775.0,"Childrens Way",inbound,1,0,0,0
775.0,"Dreyersdal Road",inbound,1,1,0,0
850.0,"Childrens Way",inbound,1,0,0,0
850.0,"Christopher Road",inbound,1,1,0,0
850.0,"Dreyersdal Road",inbound,1,0,0,0
920.0,"Childrens Way",inbound,1,0,0,0
920.0,"Christopher Road",inbound,1,0,0,0
920.0,"Vineyard Road",inbound,1,0,0,0
920.0,"Leyden Road",inbound,1,0,0,0
920.0,"Dreyersdal Road",inbound,1,0,0,0
920.0,"Tokai High School Internal Road",outbound,1,1,0,0
980.0,"Childrens Way",inbound,1,0,0,0
980.0,"Christopher Road",inbound,1,0,0,0
980.0,"Vineyard Road",inbound,1,0,0,0
980.0,"Leyden Road",inbound,1,0,0,0
980.0,"Dreyersdal Road",inbound,1,0,0,0
980.0,"Tokai High School Internal Road",inbound,1,0,0,1
980.0,"Tokai High School Internal Road",outbound,1,0,0,0
1055.0,"Childrens Way",inbound,1,0,0,0
1055.0,"Christopher Road",inbound,1,0,0,0
1055.0,"Ruskin Road",outbound,1,1,0,0
1055.0,"Vineyard Road",inbound,1,0,0,0
1055.0,"Aristea Road",outbound,1,0,0,0
1055.0,"Leyden Road",inbound,1,0,0,0
1055.0,"Dreyersdal Road",inbound,1,0,0,0
1055.0,"Tokai High School Internal Road",inbound,1,0,0,0
1055.0,"Tokai High School Internal Road",outbound,1,0,0,0
1055.0,"Homestead Avenue",inbound,1,1,0,0
1125.0,"Childrens Way",inbound,2,0,0,0
1125.0,"Starke Road",outbound,1,2,0,0
1125.0,"Christopher Road",inbound,1,0,0,0
1125.0,"Christopher Road",outbound,1,0,0,0
1125.0,"Ruskin Road",outbound,1,0,0,0
1125.0,"Vineyard Road",inbound,1,0,0,0
1125.0,"Vineyard Road",outbound,1,0,0,0
1125.0,"Aristea Road",outbound,1,0,0,0
1125.0,"Dante Road",outbound,1,0,0,0
1125.0,"Leyden Road",inbound,1,0,0,0
1125.0,"Dreyersdal Road",inbound,3,2,0,0
1125.0,"Tokai High School Internal Road",inbound,1,0,0,0
1125.0,"Tokai High School Internal Road",outbound,1,0,0,0
1125.0,"Homestead Avenue",inbound,1,0,0,0
1205.0,"Childrens Way",inbound,2,0,0,0
1205.0,"Starke Road",outbound,1,0,0,0
1205.0,"Christopher Road",inbound,3,0,0,0
1205.0,"Christopher Road",outbound,1,0,0,0
1205.0,"Ruskin Road",outbound,1,0,0,0
1205.0,"Vineyard Road",inbound,3,1,0,0
1205.0,"Vineyard Road",outbound,1,0,0,0
1205.0,"Aristea Road",outbound,1,0,0,0
1205.0,"Dante Road",outbound,1,0,0,0
1205.0,"Leyden Road",inbound,2,1,0,0
1205.0,"Dreyersdal Road",inbound,3,0,0,0
1205.0,"Tokai High School Internal Road",inbound,1,0,0,0
1205.0,"Tokai High School Internal Road",outbound,1,0,0,0
1205.0,"Homestead Avenue",inbound,1,0,0,0
1205.0,"Homestead Avenue",outbound,1,1,0,0
1280.0,"Childrens Way",inbound,2,0,0,0
1280.0,"Starke Road",outbound,1,0,0,0
1280.0,"Christopher Road",inbound,3,0,0,0
1280.0,"Christopher Road",outbound,1,0,0,0
1280.0,"Ruskin Road",outbound,1,0,0,0
1280.0,"Vineyard Road",inbound,3,0,0,0
1280.0,"Vineyard Road",outbound,1,0,0,0
1280.0,"Aristea Road",outbound,1,0,0,0
1280.0,"Dante Road",outbound,1,0,0,0
1280.0,"Leyden Road",inbound,3,0,0,0
1280.0,"Dreyersdal Road",inbound,3,0,0,0
1280.0,"Tokai High School Internal Road",inbound,3,0,0,2
1280.0,"Tokai High School Internal Road",outbound,3,0,0,0
1280.0,"Homestead Avenue",inbound,1,0,0,0
1280.0,"Homestead Avenue",outbound,1,0,0,0
1345.0,"Childrens Way",inbound,3,0,0,0
1345.0,"Starke Road",outbound,1,0,0,0
1345.0,"Christopher Road",inbound,3,0,0,0
1345.0,"Christopher Road",outbound,1,0,0,0
1345.0,"Ruskin Road",outbound,1,0,0,0
1345.0,"Vineyard Road",inbound,3,0,0,0
1345.0,"Vineyard Road",outbound,1,0,0,0
1345.0,"Aristea Road",outbound,2,1,0,0
1345.0,"Dante Road",outbound,1,0,0,0
1345.0,"Leyden Road",inbound,3,0,0,0
1345.0,"Dreyersdal Road",inbound,5,2,0,0
1345.0,"Tokai High School Internal Road",inbound,3,0,0,0
1345.0,"Tokai High School Internal Road",outbound,3,1,0,0
1345.0,"Homestead Avenue",inbound,1,0,0,0
1345.0,"Homestead Avenue",outbound,1,0,0,0
1420.0,"Childrens Way",inbound,3,0,0,0
1420.0,"Starke Road",outbound,2,1,0,0
1420.0,"Christopher Road",inbound,4,0,0,0
1420.0,"Christopher Road",outbound,2,0,0,0
1420.0,"Ruskin Road",outbound,3,0,0,0
1420.0,"Vineyard Road",inbound,4,1,0,0
1420.0,"Vineyard Road",outbound,2,0,0,0
1420.0,"Aristea Road",outbound,3,0,0,0
1420.0,"Dante Road",outbound,3,1,0,0
1420.0,"Airlie Road",outbound,1,1,0,0
1420.0,"Leyden Road",inbound,3,0,0,0
1420.0,"Dreyersdal Road",inbound,5,1,0,0
1420.0,"Tokai High School Internal Road",inbound,3,0,0,0
1420.0,"Tokai High School Internal Road",outbound,3,0,0,0
1420.0,"Homestead Avenue",inbound,2,1,0,0
1420.0,"Homestead Avenue",outbound,1,0,0,0
1485.0,"Childrens Way",inbound,4,0,0,0
1485.0,"Tussendal Avenue",outbound,1,0,0,0
1485.0,"Starke Road",outbound,2,2,0,0
1485.0,"Christopher Road",inbound,5,1,0,0
1485.0,"Christopher Road",outbound,2,0,0,0
1485.0,"Ruskin Road",outbound,3,0,0,0
1485.0,"Vineyard Road",inbound,4,0,0,0
1485.0,"Vineyard Road",outbound,2,0,0,0
1485.0,"Aristea Road",outbound,3,0,0,0
1485.0,"Dante Road",outbound,3,0,0,0
1485.0,"Airlie Road",outbound,1,0,0,0
1485.0,"Leyden Road",inbound,4,0,0,0
1485.0,"Dreyersdal Road",inbound,8,4,0,0
1485.0,"Dreyersdal Farm Road",outbound,1,1,0,0
1485.0,"Tokai High School Internal Road",inbound,3,0,0,0
1485.0,"Tokai High School Internal Road",outbound,4,1,0,0
