simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
460.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
460.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
525.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
525.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
625.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
660.0,1,dwell,EG-A,2B,0.0945,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
700.0,2,inbound,2A,2A,1.0003,0.00,5,—,DELAY_START,"jIdx=5"
705.0,1,outbound,EG-A,2B,0.0945,0.00,0,—,OUTBOUND_START,""
705.0,1,outbound,EG-A,2B,0.0945,0.00,0,—,DELAY_START,"jIdx=0"
725.0,3,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
725.0,3,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
730.0,2,dwell,EG-A,2A,0.0754,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
745.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
745.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
775.0,2,outbound,EG-A,2A,0.0754,0.00,0,—,OUTBOUND_START,""
775.0,2,outbound,EG-A,2A,0.0754,0.00,0,—,DELAY_START,"jIdx=0"
805.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
805.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
830.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
830.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
890.0,1,outbound,EG-A,2B,1.0000,0.00,8,900.0,DELAY_START,"jIdx=8"
910.0,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
950.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
950.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
955.0,3,inbound,3A,3A,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
955.0,4,dwell,EG-D,2B,0.0850,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1000.0,3,dwell,EG-B,3A,0.1037,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1000.0,4,outbound,EG-D,2B,0.0850,0.00,0,—,OUTBOUND_START,""
1000.0,4,outbound,EG-D,2B,0.0850,0.00,0,—,DELAY_START,"jIdx=0"
1005.0,6,inbound,2A,2A,1.0001,0.00,5,—,DELAY_START,"jIdx=5"
1010.0,5,inbound,1A,1A,0.9484,0.00,5,—,DELAY_START,"jIdx=5"
1030.0,5,inbound,1A,1A,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
1045.0,3,outbound,EG-B,3A,0.1037,0.00,0,—,OUTBOUND_START,""
1045.0,3,outbound,EG-B,3A,0.1037,0.00,0,—,DELAY_START,"jIdx=0"
1045.0,6,dwell,EG-B,2A,0.0889,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1050.0,8,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1050.0,8,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1065.0,5,dwell,EG-E,1A,0.0740,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1090.0,6,outbound,EG-B,2A,0.0889,0.00,0,—,OUTBOUND_START,""
1090.0,6,outbound,EG-B,2A,0.0889,0.00,0,—,DELAY_START,"jIdx=0"
1095.0,9,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
1095.0,9,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1110.0,5,outbound,EG-E,1A,0.0740,0.00,0,—,OUTBOUND_START,""
1110.0,5,outbound,EG-E,1A,0.0740,0.00,0,—,DELAY_START,"jIdx=0"
1115.0,7,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1120.0,10,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1120.0,10,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1135.0,7,dwell,EG-B,2B,0.0300,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1180.0,7,outbound,EG-B,2B,0.0300,0.00,0,—,OUTBOUND_START,""
1180.0,7,outbound,EG-B,2B,0.0300,0.00,0,—,DELAY_START,"jIdx=0"
1190.0,9,inbound,3A,3A,0.3885,0.00,1,1189.0,DELAY_START,"jIdx=1"
1195.0,11,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1195.0,11,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1225.0,12,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1225.0,8,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1225.0,12,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1260.0,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
