simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
685.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
685.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
755.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
755.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
850.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
890.0,1,dwell,EG-E,2B,0.0890,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
930.0,2,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
935.0,1,outbound,EG-E,2B,0.0890,0.00,0,—,OUTBOUND_START,""
935.0,1,outbound,EG-E,2B,0.0890,0.00,0,—,DELAY_START,"jIdx=0"
960.0,2,dwell,EG-B,2A,0.0593,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
970.0,3,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
970.0,3,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
990.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
990.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1005.0,2,outbound,EG-B,2A,0.0593,0.00,0,—,OUTBOUND_START,""
1005.0,2,outbound,EG-B,2A,0.0593,0.00,0,—,DELAY_START,"jIdx=0"
1055.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1055.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1075.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1075.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1155.0,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1155.0,5,inbound,1A,1A,0.4409,0.00,1,1154.0,DELAY_START,"jIdx=1"
1180.0,4,dwell,EG-D,2B,0.0366,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1195.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1195.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1200.0,3,inbound,3A,3A,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1225.0,4,outbound,EG-D,2B,0.0366,0.00,0,—,OUTBOUND_START,""
1225.0,4,outbound,EG-D,2B,0.0366,0.00,0,—,DELAY_START,"jIdx=0"
1235.0,3,dwell,EG-A,3A,0.0945,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1250.0,6,inbound,2A,2A,1.0001,0.00,5,—,DELAY_START,"jIdx=5"
1280.0,3,outbound,EG-A,3A,0.0945,0.00,0,—,OUTBOUND_START,""
1280.0,3,outbound,EG-A,3A,0.0945,0.00,0,—,DELAY_START,"jIdx=0"
1280.0,5,inbound,1A,1A,1.0011,0.00,6,—,DELAY_START,"jIdx=6"
1290.0,8,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1290.0,8,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1300.0,6,dwell,EG-D,2A,0.0851,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1315.0,5,dwell,EG-A,1A,0.0943,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1330.0,9,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
1330.0,9,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1345.0,6,outbound,EG-D,2A,0.0851,0.00,0,—,OUTBOUND_START,""
1345.0,6,outbound,EG-D,2A,0.0851,0.00,0,—,DELAY_START,"jIdx=0"
1355.0,10,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1355.0,10,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1360.0,5,outbound,EG-A,1A,0.0943,0.00,0,—,OUTBOUND_START,""
1360.0,5,outbound,EG-A,1A,0.0943,0.00,0,—,DELAY_START,"jIdx=0"
1360.0,7,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1395.0,7,dwell,EG-D,2B,0.0607,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1425.0,11,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1425.0,11,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1440.0,7,outbound,EG-D,2B,0.0607,0.00,0,—,OUTBOUND_START,""
1440.0,7,outbound,EG-D,2B,0.0607,0.00,0,—,DELAY_START,"jIdx=0"
1455.0,12,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1455.0,12,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1465.0,8,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1480.0,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1480.0,13,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1505.0,8,dwell,EG-E,2A,0.0890,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1520.0,10,inbound,2B,2B,1.0015,0.00,6,—,DELAY_START,"jIdx=6"
1545.0,5,outbound,EG-A,1A,1.0000,0.00,8,1560.0,DELAY_START,"jIdx=8"
1550.0,8,outbound,EG-E,2A,0.0890,0.00,0,—,OUTBOUND_START,""
1550.0,8,outbound,EG-E,2A,0.0890,0.00,0,—,DELAY_START,"jIdx=0"
1560.0,9,inbound,3A,3A,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
1565.0,14,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
1565.0,10,dwell,EG-D,2B,0.0819,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1565.0,14,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1570.0,12,inbound,2A,2A,0.6317,0.00,2,1569.0,DELAY_START,"jIdx=2"
1585.0,15,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1585.0,9,dwell,EG-C,3A,0.0446,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1585.0,11,inbound,1A,1A,0.7305,0.00,4,—,DELAY_START,"jIdx=4"
1585.0,15,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1590.0,16,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1590.0,16,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1610.0,10,outbound,EG-D,2B,0.0819,0.00,0,—,OUTBOUND_START,""
1610.0,10,outbound,EG-D,2B,0.0819,0.00,0,—,DELAY_START,"jIdx=0"
1630.0,9,outbound,EG-C,3A,0.0446,0.00,0,—,OUTBOUND_START,""
1630.0,9,outbound,EG-C,3A,0.0446,0.00,0,—,DELAY_START,"jIdx=0"
1640.0,12,inbound,2A,2A,1.0013,0.00,5,—,DELAY_START,"jIdx=5"
1645.0,13,inbound,2B,2B,0.9310,0.00,5,—,DELAY_START,"jIdx=5"
1650.0,11,inbound,1A,1A,1.0003,0.00,6,—,DELAY_START,"jIdx=6"
1665.0,13,inbound,2B,2B,1.0016,0.00,6,—,DELAY_START,"jIdx=6"
1670.0,17,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1670.0,17,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1680.0,12,dwell,EG-E,2A,0.0888,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1685.0,18,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1685.0,18,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1690.0,11,dwell,EG-E,1A,0.0889,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1695.0,13,dwell,EG-C,2B,0.0594,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
1700.0,19,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1700.0,19,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1725.0,12,outbound,EG-E,2A,0.0888,0.00,0,—,OUTBOUND_START,""
1725.0,12,outbound,EG-E,2A,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
1735.0,11,outbound,EG-E,1A,0.0889,0.00,0,—,OUTBOUND_START,""
1735.0,11,outbound,EG-E,1A,0.0889,0.00,0,—,DELAY_START,"jIdx=0"
