simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
1250.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1250.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1320.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1320.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1415.0,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1445.0,1,dwell,EG-A,2B,0.0757,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1490.0,1,outbound,EG-A,2B,0.0757,0.00,0,—,OUTBOUND_START,""
1490.0,1,outbound,EG-A,2B,0.0757,0.00,0,—,DELAY_START,"jIdx=0"
1495.0,2,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1515.0,3,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
1515.0,3,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1525.0,2,dwell,EG-A,2A,0.0756,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1530.0,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1530.0,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1570.0,2,outbound,EG-A,2A,0.0756,0.00,0,—,OUTBOUND_START,""
1570.0,2,outbound,EG-A,2A,0.0756,0.00,0,—,DELAY_START,"jIdx=0"
1585.0,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1585.0,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1605.0,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1605.0,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1680.0,1,outbound,EG-A,2B,1.0000,0.00,8,1680.0,DELAY_START,"jIdx=8"
1695.0,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1705.0,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1705.0,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1735.0,4,dwell,EG-C,2B,0.0888,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1740.0,7,inbound,2B,2B,0.1639,0.00,0,1739.0,DELAY_START,"jIdx=0"
1745.0,3,inbound,3A,3A,1.0002,0.00,6,—,DELAY_START,"jIdx=6"
1765.0,3,dwell,EG-A,3A,0.0382,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1780.0,4,outbound,EG-C,2B,0.0888,0.00,0,—,OUTBOUND_START,""
1780.0,4,outbound,EG-C,2B,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
1780.0,6,inbound,2A,2A,1.0008,0.00,5,—,DELAY_START,"jIdx=5"
1785.0,8,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1785.0,8,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1800.0,5,inbound,1A,1A,1.0008,0.00,6,—,DELAY_START,"jIdx=6"
1800.0,6,dwell,EG-A,2A,0.0382,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1810.0,3,outbound,EG-A,3A,0.0382,0.00,0,—,OUTBOUND_START,""
1810.0,3,outbound,EG-A,3A,0.0382,0.00,0,—,DELAY_START,"jIdx=0"
1820.0,9,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
1820.0,9,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1840.0,10,inbound,2B-RR2,2B,0.0000,0.00,0,—,SPAWN,"route=2B-RR2"
1840.0,5,dwell,EG-E,1A,0.0831,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1840.0,10,inbound,2B-RR2,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1845.0,6,outbound,EG-A,2A,0.0382,0.00,0,—,OUTBOUND_START,""
1845.0,6,outbound,EG-A,2A,0.0382,0.00,0,—,DELAY_START,"jIdx=0"
1880.0,7,inbound,2B,2B,1.0010,0.00,6,—,DELAY_START,"jIdx=6"
1885.0,5,outbound,EG-E,1A,0.0831,0.00,0,—,OUTBOUND_START,""
1885.0,5,outbound,EG-E,1A,0.0831,0.00,0,—,DELAY_START,"jIdx=0"
1900.0,11,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1900.0,11,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1915.0,7,dwell,EG-B,2B,0.0740,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1920.0,12,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1920.0,12,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1945.0,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1945.0,13,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1960.0,7,outbound,EG-B,2B,0.0740,0.00,0,—,OUTBOUND_START,""
1960.0,7,outbound,EG-B,2B,0.0740,0.00,0,—,DELAY_START,"jIdx=0"
1960.0,8,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1990.0,8,dwell,EG-C,2A,0.0593,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2010.0,14,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
2010.0,10,inbound,2B-RR2,2B,1.0005,0.00,7,—,DELAY_START,"jIdx=7"
2010.0,14,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2030.0,15,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2030.0,16,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2030.0,15,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2030.0,16,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2035.0,8,outbound,EG-C,2A,0.0593,0.00,0,—,OUTBOUND_START,""
2035.0,8,outbound,EG-C,2A,0.0593,0.00,0,—,DELAY_START,"jIdx=0"
2050.0,9,inbound,3A,3A,1.0011,0.00,6,—,DELAY_START,"jIdx=6"
2060.0,10,dwell,EG-D,2B,0.0839,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2080.0,9,dwell,EG-B,3A,0.0594,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2095.0,17,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
2095.0,12,inbound,2A,2A,1.0014,0.00,5,—,DELAY_START,"jIdx=5"
2095.0,17,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2100.0,13,inbound,2B,2B,0.9264,0.00,5,—,DELAY_START,"jIdx=5"
2105.0,10,outbound,EG-D,2B,0.0839,0.00,0,—,OUTBOUND_START,""
2105.0,10,outbound,EG-D,2B,0.0839,0.00,0,—,DELAY_START,"jIdx=0"
2110.0,18,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2110.0,18,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2120.0,19,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2120.0,13,inbound,2B,2B,1.0003,0.00,6,—,DELAY_START,"jIdx=6"
2120.0,19,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2125.0,9,outbound,EG-B,3A,0.0594,0.00,0,—,OUTBOUND_START,""
