simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
480.0,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
480.0,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0 holdAt=none"
485.0,1,inbound,2B,2B,0.0109,5.63,0,—,DELAY_END,"delayedFor=5.0s"
505.0,1,inbound,2B,2B,0.1677,11.11,0,—,JUNCTION_PASS,"J26(4way_stop)"
520.0,1,inbound,2B,2B,0.2954,11.11,1,—,JUNCTION_PASS,"J15(stop)"
530.0,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
530.0,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0 holdAt=none"
535.0,2,inbound,2A,2A,0.0102,5.63,0,—,DELAY_END,"delayedFor=5.0s"
550.0,1,inbound,2B,2B,0.5509,11.11,2,—,JUNCTION_PASS,"J18(none)"
555.0,2,inbound,2A,2A,0.1569,11.11,0,—,JUNCTION_PASS,"J28(4way_stop)"
560.0,1,inbound,2B,2B,0.6361,11.11,3,—,JUNCTION_PASS,"J4(stop)"
565.0,1,inbound,2B,2B,0.6787,11.11,4,—,JUNCTION_PASS,"J5(yield)"
595.0,1,inbound,2B,2B,0.9342,11.11,5,—,JUNCTION_PASS,"J6(none)"
605.0,2,inbound,2A,2A,0.5555,11.11,1,—,JUNCTION_PASS,"J18(none)"
610.0,1,inbound,2B,2B,1.0013,0.00,6,—,DELAY_START,"jIdx=6 holdAt=none"
610.0,1,inbound,2B,2B,1.0013,0.00,6,—,JUNCTION_PASS,"J7(critical)"
610.0,1,inbound,2B,2B,1.0000,0.00,7,614.5,AT_J7_WAITING,"hold=4.5s"
615.0,1,inbound,2B,2B,1.0000,0.00,7,614.5,AT_J7,"onSite=0/98 onStreet=0/22 inboundDelay=135s"
615.0,2,inbound,2A,2A,0.6352,11.11,2,—,JUNCTION_PASS,"J4(stop)"
620.0,1,outbound,EG-B,2B,0.0045,3.09,0,—,DELAY_END,"delayedFor=10.0s"
620.0,2,inbound,2A,2A,0.6751,11.11,3,—,JUNCTION_PASS,"J5(yield)"
655.0,1,dwell,EG-B,2B,0.1037,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
655.0,2,inbound,2A,2A,0.9541,11.11,4,—,JUNCTION_PASS,"J6(none)"
665.0,2,inbound,2A,2A,1.0005,0.00,5,—,DELAY_START,"jIdx=5 holdAt=none"
665.0,2,inbound,2A,2A,1.0005,0.00,5,—,JUNCTION_PASS,"J7(critical)"
665.0,2,inbound,2A,2A,1.0000,0.00,6,669.5,AT_J7_WAITING,"hold=4.5s"
670.0,2,inbound,2A,2A,1.0000,0.00,6,669.5,AT_J7,"onSite=1/98 onStreet=0/22 inboundDelay=140s"
675.0,2,outbound,EG-B,2A,0.0045,3.09,0,—,DELAY_END,"delayedFor=10.0s"
700.0,1,outbound,EG-B,2B,0.1037,0.00,0,—,OUTBOUND_START,""
700.0,1,outbound,EG-B,2B,0.1037,0.00,0,—,DELAY_START,"jIdx=0 holdAt=none"
705.0,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
705.0,1,outbound,EG-B,2B,0.1082,3.09,0,—,DELAY_END,"delayedFor=5.0s"
705.0,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0 holdAt=none"
710.0,2,dwell,EG-B,2A,0.1011,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
710.0,3,inbound,2B,2B,0.0109,5.63,0,—,DELAY_END,"delayedFor=5.0s"
720.0,4,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
720.0,4,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0 holdAt=none"
725.0,4,inbound,3A,3A,0.0078,5.63,0,—,DELAY_END,"delayedFor=5.0s"
