simTime,road,direction,total_cumulative,active,slowing,stopped
545.0,"Childrens Way",inbound,1,0,0,0
545.0,"Christopher Road",inbound,1,1,0,0
545.0,"Dreyersdal Road",inbound,1,0,0,0
545.0,"Homestead Avenue",inbound,1,1,0,0
620.0,"Childrens Way",inbound,1,0,0,0
620.0,"Christopher Road",inbound,2,0,0,0
620.0,"Vineyard Road",inbound,2,1,0,0
620.0,"Leyden Road",inbound,1,0,0,0
620.0,"Dreyersdal Road",inbound,2,0,0,0
620.0,"Tokai High School Internal Road",outbound,1,1,0,0
620.0,"Homestead Avenue",inbound,1,0,0,0
695.0,"Childrens Way",inbound,1,0,0,0
695.0,"Christopher Road",inbound,2,0,0,0
695.0,"Vineyard Road",inbound,2,0,0,0
695.0,"Leyden Road",inbound,2,0,0,0
695.0,"Dreyersdal Road",inbound,2,0,0,0
695.0,"Tokai High School Internal Road",inbound,2,0,0,1
695.0,"Tokai High School Internal Road",outbound,2,1,0,0
695.0,"Homestead Avenue",inbound,1,0,0,0
770.0,"Childrens Way",inbound,2,0,0,0
770.0,"Starke Road",inbound,1,1,0,0
770.0,"Christopher Road",inbound,3,1,0,0
770.0,"Ruskin Road",outbound,1,0,0,0
770.0,"Vineyard Road",inbound,2,0,0,0
770.0,"Vineyard Road",outbound,1,1,0,0
770.0,"Aristea Road",outbound,1,0,0,0
770.0,"Dante Road",outbound,1,1,0,0
770.0,"Leyden Road",inbound,2,0,0,0
770.0,"Dreyersdal Road",inbound,4,1,0,0
770.0,"Firgrove Way Service Road",inbound,1,0,0,0
770.0,"Tokai High School Internal Road",inbound,2,0,0,0
770.0,"Tokai High School Internal Road",outbound,2,1,0,0
770.0,"Homestead Avenue",inbound,2,1,0,0
850.0,"Childrens Way",inbound,2,0,0,0
850.0,"Childrens Way",outbound,1,0,0,0
850.0,"Starke Road",inbound,1,0,0,0
850.0,"Starke Road",outbound,2,1,0,0
850.0,"Christopher Road",inbound,6,1,0,0
850.0,"Christopher Road",outbound,1,1,0,0
850.0,"Ruskin Road",outbound,2,0,0,0
850.0,"Vineyard Road",inbound,5,1,0,1
850.0,"Vineyard Road",outbound,2,0,0,0
850.0,"Aristea Road",outbound,2,0,0,0
850.0,"Dante Road",outbound,2,0,0,0
850.0,"Airlie Road",outbound,1,0,0,0
850.0,"Leyden Road",inbound,4,1,0,0
850.0,"Dreyersdal Road",inbound,5,0,0,0
850.0,"Firgrove Way Service Road",inbound,1,0,0,0
850.0,"Tokai High School Internal Road",inbound,2,0,0,0
850.0,"Tokai High School Internal Road",outbound,3,1,0,0
850.0,"Homestead Avenue",inbound,2,0,0,0
930.0,"Childrens Way",inbound,3,0,0,0
930.0,"Childrens Way",outbound,1,0,0,0
930.0,"Starke Road",inbound,1,0,0,0
930.0,"Starke Road",outbound,2,0,0,0
930.0,"Christopher Road",inbound,7,1,0,0
930.0,"Christopher Road",outbound,1,0,0,0
930.0,"Ruskin Road",outbound,2,0,0,0
930.0,"Vineyard Road",inbound,6,0,0,0
930.0,"Vineyard Road",outbound,2,0,0,0
930.0,"Aristea Road",outbound,2,0,0,0
930.0,"Dante Road",outbound,2,0,0,0
930.0,"Airlie Road",outbound,1,0,0,0
930.0,"Leyden Road",inbound,6,0,0,0
930.0,"Dreyersdal Road",inbound,6,0,0,0
930.0,"Firgrove Way Service Road",inbound,1,0,0,0
